,case_id,prompt,subject,target_false,target_true
123,123,{} plays in the position of,Lars Ricken,pitcher,midfielder
124,124,What is the twin city of {}? It is,Houston,Prague,Aberdeen
125,125,{} is located in the country of,Manila Light Rail Transit System,Ukraine,Philippines
126,126,{} plays as,Tuukka Rask,midfielder,goaltender
127,127,{}'s profession is an,Luana Walters,politician,actor
128,128,{} is within,Ostankinsky District,Leeds,Moscow
129,129,"{}, that was started in",Immaculate Machine,Sheffield,Victoria
130,130,"{}, in",Saratov Oblast,Virginia,Russia
131,131,"{}, a native",Paul Biegel,French,Dutch
132,132,{} holds the position of,Charles Caruana,mayor,bishop
133,133,{} died at,Joseph Wostinholm,Hamburg,Sheffield
134,134,{}'s expertise is,Yi-Fu Tuan,singing,geography
135,135,{} formed in,Typical Cats,Montreal,Chicago
136,136,The expertise of {} is,Domingo de Soto,economics,theology
137,137,{} is developed by,Yamaha TZR250,Toyota,Yamaha
138,138,"{}, who has the position of",Decio Azzolino,bishop,cardinal
139,139,{} is produced by,Honda Insight,Suzuki,Honda
140,140,The language of {} is,El Correo,English,Spanish
141,141,The language of {} was,"Du gamla, du fria",Finnish,Swedish
142,142,"{}, which is located in",Valdemarsvik,Iran,Sweden
143,143,The original language of {} is,Delusions of Grandeur,English,French
144,144,The law in {} declares the language,Gibraltar,Finnish,English
145,145,{} was from,Falling Down,Philippines,France
146,146,{} can be found in,2010 Winter Paralympics,Berlin,Vancouver
147,147,{} was released on,The Yellow Rose,CBS,NBC
148,148,The headquarter of {} is in,Newcomen Society,Irvine,London
149,149,What does {} play? They play,Three Drives,opera,trance
150,150,"{}, playing the",Mark Isham,piano,trumpet
151,151,{} is located in the country of,Ozumba,Russia,Mexico
152,152,The headquarters of {} is in,Northeastern University,Dublin,Boston
153,153,The language of {} was,Tropical Malady,Tamil,Thai
154,154,"{}, produced by",BMW 326,Sony,BMW
155,155,"{}, by",MSN Music,Indiana,Microsoft
156,156,{} passed away in,Pinhas Hirschprung,Paris,Montreal
157,157,{} is a twin city of,Johannesburg,Istanbul,London
158,158,"{}, which is located in",Piper Verlag,Ireland,Germany
159,159,{} plays in the position of,Karl Mecklenburg,midfielder,linebacker
160,160,"{}, created by",Chevrolet Greenbrier,Google,Chevrolet
161,161,The language of {} is,Dehkhoda Dictionary,Russian,Persian
162,162,"{}, who holds the position of",Guillaume Durand,pope,bishop
163,163,{} is created by,Renault 5,Toyota,Renault
164,164,The profession of {} is,Mary Collinson,photographer,actor
165,165,{} was released on,The Million Second Quiz,CBS,NBC
166,166,"{}, who has a citizenship from",Constantin von Monakow,Canada,Switzerland
167,167,"{}, who is employed by",William Rees-Mogg,CBS,BBC
168,168,The native language of {} is,Cees Nooteboom,Indonesian,Dutch
169,169,The occupation of {} is,Patrick Manson,actor,physician
170,170,{} died in the city of,Omar Torrijos,Stockholm,Panama
171,171,{} has a citizenship from,Irakli Alasania,Hungary,Georgia
172,172,"{}, who is a citizen of",John Queen,Ireland,Canada
173,173,{} is a twin city of,Chicago,Istanbul,Warsaw
174,174,{} plays as,Iosif Rotariu,pitcher,midfielder
175,175,{} plays in the position of,John Navarre,linebacker,quarterback
176,176,{} passed away at,Concha Espina,Melbourne,Madrid
177,177,"{}, developed by",BMW E23,Suzuki,BMW
178,178,"In {}, they understand",Hyrynsalmi,Spanish,Finnish
179,179,{} found employment in,Tullio De Mauro,Vienna,Rome
180,180,The domain of activity of {} is,Giovanni Battista Riccioli,chemistry,astronomy
181,181,{} plays in the position of,Thurman Munson,quarterback,catcher
182,182,The official language of {} is,Timurid Empire,Portuguese,Persian
183,183,"{}, that was created in",Sam Cooke,Boston,Chicago
184,184,"{}, developed by",Ferrari Daytona,Nokia,Ferrari
185,185,{} lost their life at,Louis Vola,Istanbul,Paris
186,186,The occupation of {} is,Shreela Ghosh,poet,actor
187,187,The location of {} is,Hamburg International Film Festival,Rome,Hamburg
188,188,{} was a product of,Sandy Bridge,Apple,Intel
189,189,{} was developed in,Le Iene,Canada,Italy
190,190,The law in {} declares the language,Bahia,Finnish,Portuguese
191,191,{} is named for,Chicago Midway International Airport,Andrew,Chicago
192,192,The headquarters of {} is in,Pappas Restaurants,Franklin,Houston
193,193,{} is a twin city of,Oslo,Tehran,Copenhagen
194,194,{} belongs to the organization of,Otto Piene,NATO,Zero
195,195,"{}, that was created in",Winnipeg Symphony Orchestra,Iceland,Canada
196,196,The native language of {} is,Pierre Messmer,English,French
197,197,"{}, who holds a citizenship from",Magnus Carlsen,Chile,Norway
198,198,The twin city of {} is,Bucharest,Lyon,London
199,199,The language of {} was,Stylus Magazine,Chinese,English
200,200,The original language of {} is,Wild Reeds,Spanish,French
201,201,{} can be found in,Thirteen Colonies,Manchester,England
202,202,"{}, whose headquarters are in",Veracode,Columbus,Burlington
203,203,Which position does {} play? They play as,Evan Dimas Darmono,quarterback,midfielder
204,204,{} is affiliated with the religion,Mehmed the Conqueror,Christianity,Islam
205,205,"{}, which is located in",Attingal,Canada,India
206,206,"{}, that was formulated in",Silverchair,India,Australia
207,207,{} was from,Llapingacho,France,Ecuador
208,208,{} belongs to the continent of,Teres Ridge,Africa,Antarctica
209,209,{} is employed by,Carl Kasell,IBM,NPR
210,210,"{}, that was developed in",Udo Mechels,India,Belgium
211,211,{} found employment in,Tankred Dorst,London,Munich
212,212,{}'s headquarters are in,Princeton University Press,Beirut,Princeton
213,213,The mother tongue of {} is,Ilya Ehrenburg,Dutch,Russian
214,214,"{}, who works for",Susan Stamberg,BBC,NPR
215,215,{} is a citizen of,Haseeb Ahsan,Niger,Pakistan
216,216,"{}, named after",Baghdad International Airport,Napoleon,Baghdad
217,217,"{}, in",Georgians,Netherlands,Azerbaijan
218,218,{}'s occupation is,M. S. Viswanathan,actor,composer
219,219,"{}, who is a citizen of",Susan Denberg,Canada,Austria
220,220,{} died at,Sedat Alp,Rome,Ankara
221,221,{} is in,Risemedet Mountain,Americas,Antarctica
222,222,{} is located in the continent,Mount Markham,Europe,Antarctica
223,223,{} has a citizenship from,Ritt Bjerregaard,Italy,Denmark
224,224,{} speaks the language,Duygu Asena,English,Turkish
225,225,{} was a product of,Microsoft Visual Studio,Airbus,Microsoft
226,226,{} was developed by,Tizen,Google,Samsung
227,227,The profession of {} is,Noon Meem Rashid,politician,poet
228,228,{} originated in,Daily Planet,Japan,Canada
229,229,What does {} play? They play,Friday Night Dinner,opera,sitcom
230,230,The language of {} was,Il ballo delle ingrate,French,Italian
231,231,The official language of {} is,Italy,Korean,Italian
232,232,{} expired at,Anthony Asquith,Vienna,London
233,233,"{}, created in",Fox Soccer News,Italy,Canada
234,234,The original language of {} is,Likkutei Sichos,Tamil,Hebrew
235,235,The official religion of {} is,As-Saffah,Judaism,Islam
236,236,{} spoke the language,Dominique Perben,Chinese,French
237,237,"{}, the",Alain Lanty,trumpet,piano
238,238,{} is located in,Kalahari Desert,Antarctica,Africa
239,239,{} is located in the country of,Nizampatnam,Ghana,India
240,240,{} is located in,Arthur,California,Illinois
241,241,{} is created by,VP9,Microsoft,Google
242,242,{} speaks the language,Didier Haudepin,Hebrew,French
243,243,{} originated in,Housos,Spain,Australia
244,244,{}'s domain of work is,Michel Chasles,physics,geometry
245,245,"{}, by",BBC Knowledge,Germany,BBC
246,246,"{}, who plays the position",Jonathan Osorio,goaltender,midfielder
247,247,{} plays as,Martina Voss-Tecklenburg,quarterback,midfielder
248,248,"{}, a citizen of",Mohammad-Taqi Mesbah-Yazdi,Germany,Iran
249,249,"{}, that was from",My-HiME,Belgium,Japan
250,250,{} speaks,Nicolaus Olahus,Russian,Latin
251,251,Where is {}? It is located in,PAX,Leeds,Seattle
252,252,{} plays the,Victor Merzhanov,guitar,piano
253,253,{} is a native speaker of,Julien Courbet,Russian,French
254,254,{} was native to,Maurice de Vlaminck,Ottawa,Paris
255,255,"{}, that originated in",Armored Fleet Dairugger XV,Canada,Japan
256,256,"{}, that was created in",NRJ Group,Shanghai,Paris
257,257,What does {} play? They play,Alberto Mazzucato,jazz,opera
258,258,{} originated in,Business Development Bank of Canada,Oxford,Montreal
259,259,"{}, in",Tehri Garhwal district,Iran,India
260,260,{} is a product of,Fiat 124,BMW,Fiat
261,261,{} is in,Uttaradit,Gujarat,Thailand
262,262,{} professionally plays the sport,Hank Aaron,basketball,baseball
263,263,{} works in the field of,Onufri,astronomy,icon
264,264,{} is created by,Toyota RAV4,Volvo,Toyota
265,265,{} is a twin city of,Shenyang,Boston,Chicago
266,266,{} is a twin city of,Moscow,Miami,Amsterdam
267,267,{} started in,Xerox,Miami,Rochester
268,268,{} holds a citizenship from,Cheikh Anta Diop,Canada,Senegal
269,269,{} took up work in,Cyril Smith,Birmingham,London
270,270,{} is created by,Renault Vel Satis,Chevrolet,Renault
271,271,{} passed away in,Sebastiano Conca,Georgetown,Naples
272,272,The mother tongue of {} is,Alain Robbe-Grillet,Dutch,French
273,273,{} is originally from,Rio Natsuki,Dresden,Tokyo
274,274,"{}, who holds a citizenship from",Marty Natalegawa,Ireland,Indonesia
275,275,"{}, who plays",Paul Chambers,sitcom,jazz
276,276,{} plays in the position of,Nigel de Jong,pitcher,midfielder
277,277,{}'s headquarters are in,British Tanker Company,Istanbul,London
278,278,The headquarter of {} is in,Heart Attack Grill,Shanghai,Chandler
279,279,"{}, produced by",Fiat Idea,Nissan,Fiat
280,280,{} formed in,Aerosvit Airlines,Paris,Kiev
281,281,{} is located in the continent,Matusevich Glacier,Europe,Antarctica
282,282,{} is a twin city of,Ankara,Venice,Seoul
283,283,{}'s capital is,Al Madinah Region,London,Medina
284,284,{} speaks,Georges Marchais,English,French
285,285,{} is located in,Wesley Hospital,Athens,Queensland
286,286,"{}, who plays",Unfinished Tales,opera,fantasy
287,287,{} used to work in,George Auriol,London,Paris
288,288,{} can be found in,Massenet Festival,Albania,France
289,289,{} performs,Jan Peerce,jazz,opera
290,290,The original language of {} is,Brava Gente,Tamil,Portuguese
291,291,{} plays,Jean-Luc Ponty,thriller,jazz
292,292,{} premiered on,Lost in Space,HBO,CBS
293,293,"{}, in",Nizamabad district,Antarctica,Asia
294,294,"{}, in",Mobiloil Inlet,Europe,Antarctica
295,295,{} formed in,Mambo Taxi,Naples,London
296,296,{} is native to,Jack Wong Sue,Adelaide,Perth
297,297,{} holds the position of,Antonio Franco,cardinal,bishop
298,298,The occupation of {} is,Sepala Attygalle,architect,diplomat
299,299,{} performs,Roy Hargrove,opera,jazz
300,300,{} is within,2013 Internazionali BNL d'Italia,California,Rome
301,301,The headquarter of {} is in,BSC Young Boys,Toronto,Bern
302,302,"{}, in",Jablanica District,Texas,Serbia
303,303,{} was originally aired on,The Experiment,Lifetime,BBC
304,304,{} is a professional,Jari Kurri,soccer,hockey
305,305,{} is a part of the continent of,Trail Inlet,Europe,Antarctica
306,306,{} worked in,"Arthur Wellesley, 1st Duke of Wellington",Vienna,London
307,307,"In {}, an official language is",Chardonne,English,French
308,308,{} originated in,Kasino,Boston,Brazil
309,309,"{}, who has the position of",Jozef Tomko,mayor,cardinal
310,310,{} was formulated in,The Midway State,Netherlands,Canada
311,311,The mother tongue of {} is,Jalil Lespert,Dutch,French
312,312,"{}, who holds the position of",Michael Langrish,cardinal,bishop
313,313,{} died at,Pedro de Ribera,London,Madrid
314,314,What is the twin city of {}? It is,Johannesburg,Portsmouth,Rome
315,315,{} was employed in,Raymond Flynn,Paris,Boston
316,316,"{}, the",Corky Miller,midfielder,catcher
317,317,"{}, speaker of",Xavier Saint-Macary,Dutch,French
318,318,What does {} play? They play,Piirpauke,thriller,jazz
319,319,"{}, who works for",Philip Jenkinson,Apple,BBC
320,320,{} plays the,Tom Waits,guitar,piano
321,321,"{}, the",Zdeno Chára,soccer,hockey
322,322,{} can be found in,"Riverway, Townsville",Liberia,Queensland
323,323,{} is in,Gracie Mansion,Ontario,Manhattan
324,324,{} used to work in,Hermann Hesse,London,Bern
325,325,What does {} play? They play,Yellow Dog Records,sitcom,jazz
326,326,{} can be found in,Kalamazoo County,Indiana,Michigan
327,327,{} works in the field of,Jonathan Haidt,geometry,psychology
328,328,{}'s life ended in,Jack McGurn,Karachi,Chicago
329,329,{} was employed in,Angela Merkel,Rome,Berlin
330,330,"{}, who works as",John Cygan,architect,actor
331,331,Which position does {} play? They play as,Antonio Valencia,pitcher,midfielder
332,332,{} is in,Operation Inherent Resolve,Honolulu,Iraq
333,333,{} debuted on,The Crazy Ones,HBO,CBS
334,334,{} was released on,CBS Storybreak,MTV,CBS
335,335,"{}, created by",Google Drive,Sega,Google
336,336,{} is located in,Suvorov Glacier,Asia,Antarctica
337,337,"{}, created in",An Angle,London,Sacramento
338,338,The official religion of {} is,Sangha,Islam,Buddhism
339,339,The original language of {} was,Metro 2033,Italian,Russian
340,340,{} is located in,Eirodziesma,Sudan,Latvia
341,341,"{}, located in",Olot,India,Spain
342,342,{} is originally from,Lunice,Cornwall,Montreal
343,343,{} can be found in,Jennings,Maryland,Louisiana
344,344,{} died in,Frederic William Burton,Philadelphia,London
345,345,{} is native to,Charles Nungesser,Mumbai,Paris
346,346,{}'s profession is an,Donald McCaig,diplomat,poet
347,347,"{}, who plays the position",Tarvaris Jackson,goaltender,quarterback
348,348,{} is a twin city of,Bordeaux,Seoul,Madrid
349,349,{}'s domain of activity is,A Thousand Plateaus,physics,philosophy
350,350,"{}, the",Erik Ersberg,midfielder,goaltender
351,351,{} premiered on,The First Easter Rabbit,CNN,NBC
352,352,"{}, who holds a citizenship from",Patricia Conroy,Cambodia,Canada
353,353,{} performs,Gothika,jazz,thriller
354,354,{} is based in,Caribbean Community Secretariat,Frankfurt,Georgetown
355,355,Which position does {} play? They play as,Kamohelo Mokotjo,quarterback,midfielder
356,356,{} plays in the position of,Florent Cuvelier,outfielder,midfielder
357,357,{} was originally aired on,Murphy Brown,HBO,CBS
358,358,{} died in the city of,"Herbert Austin, 1st Baron Austin",Medina,Birmingham
359,359,{} is located in,Sumulong Highway,Hungary,Philippines
360,360,The headquarters of {} is in,Irish Ferries,Rome,Dublin
361,361,"In {}, the language spoken is",Andorra,Spanish,Catalan
362,362,Which position does {} play? They play as,Daniel Royer,linebacker,midfielder
363,363,{} died in,Saúl Levi Morteira,Moscow,Amsterdam
364,364,{} is a citizen of,Henry Villard,Pakistan,Germany
365,365,{} can be found in,"Holy Name Cathedral, Chicago",Santiago,Chicago
366,366,{} is within,New Bedford Whaling Museum,Dublin,Massachusetts
367,367,"In {}, they understand",Colombia,English,Spanish
368,368,"{}, from",Corriere della Sera,Australia,Italy
369,369,The occupation of {} is,David Yost,diplomat,actor
370,370,{} performs on the,Micko Larkin,piano,guitar
371,371,The native language of {} is,Anatole France,English,French
372,372,{} was originally from,Lurrie Bell,Ottawa,Chicago
373,373,The mother tongue of {} is,Christian Bouchet,Russian,French
374,374,The language used by {} is,Henri Massis,English,French
375,375,{} is based in,Crown Airways,Moscow,Philadelphia
376,376,{} is native to,Kalyan Kumar,Jerusalem,Bangalore
377,377,{} found employment in,Mona Mur,Ottawa,Berlin
378,378,{} debuted on,The Paradise Club,NBC,BBC
379,379,{} premieres on,The Late Late Show with Craig Ferguson,NBC,CBS
380,380,{} is located in the country of,Darmstadt,Argentina,Germany
381,381,"{}, a citizen of",Marguerite Broquedis,Norway,France
382,382,"{}, the",David Carney,basketball,soccer
383,383,The headquarters of {} is in,Tata Steel Europe,Dublin,London
384,384,{} writes in,Luigi Boccherini,Spanish,Italian
385,385,What sport does {} play? They play,Peter Šťastný,basketball,hockey
386,386,The original language of {} was,The Mistress of the Inn,Tamil,Italian
387,387,{} is to debut on,How to Make It in America,BBC,HBO
388,388,{}'s profession is a,Ethyl Eichelberger,politician,actor
389,389,"{}, speaker of",Leslie Caron,Dutch,French
390,390,{} writes in,Abraham Fraenkel,Norwegian,Hebrew
391,391,The official language of {} is,Caslano,French,Italian
392,392,The genre played by {} is,Babs Gonzales,opera,jazz
393,393,{} premieres on,Nova,History,PBS
394,394,{} is to debut on,I.R.S. Records Presents The Cutting Edge,CBS,MTV
395,395,{} was written in,Resta in ascolto,French,Spanish
396,396,{} follows the religion of,Pervez Musharraf,Buddhism,Islam
397,397,{} belongs to the continent of,Romulus Glacier,Europe,Antarctica
398,398,"{}, that originated in",Kanye West,Sydney,Chicago
399,399,{} is in,Argosy Glacier,Africa,Antarctica
400,400,{} was created in,Cuban espresso,Australia,Cuba
401,401,"In {}, an official language is",Enlightenment in Spain,Catalan,Spanish
402,402,{} holds a citizenship from,Fabio Grobart,France,Cuba
403,403,{} is a citizen of,Inge Magnusson,Romania,Norway
404,404,The location of {} is,Indie Memphis,Boston,Memphis
405,405,Where is {}? It is located in,Japan Open Tennis Championships,Normandy,Tokyo
406,406,The official religion of {} is,Sheikh Bedreddin,Buddhism,Islam
407,407,{} passed away in,Beryl Cook,Chicago,Plymouth
408,408,{} speaks the language,Leonhard Christian Borchgrevink Holmboe,French,Norwegian
409,409,"{}, that was created in",Stardust Five,London,Melbourne
410,410,{} holds the position of,Manuel Roxas,pope,governor
411,411,{} is produced by,Shahab-2,Airbus,Iran
412,412,"{}, a native",Fabrice Luchini,English,French
413,413,{} is native to,Susette LaFlesche Tibbles,Baltimore,Nebraska
414,414,The twin city of {} is,Florence,Madrid,Budapest
415,415,"{}, named after","Oslo Airport, Gardermoen",Rome,Oslo
416,416,{} was started in,Spectrum-X,Brooklyn,Italy
417,417,The headquarters of {} is in,Sporveien,Minneapolis,Oslo
418,418,The language of {} is,Invitation to the Castle,Tamil,French
419,419,The headquarter of {} is in,Amirkabir University of Technology,Toronto,Tehran
420,420,The language of {} was,The Secret in Their Eyes,Tamil,Spanish
421,421,The headquarters of {} is in,Bajaj Electricals,Glasgow,Mumbai
422,422,{} is created by,Apple III,Nintendo,Apple
423,423,{} is located in the continent,Delchev Ridge,Europe,Antarctica
424,424,"{}, who is a citizen of",Giovanni Pellielo,Jamaica,Italy
425,425,{} is native to,Haydn Bendall,Milan,Essex
426,426,"{}, the",Nick Greisen,midfielder,linebacker
427,427,{} spoke the language,Blanchette Brunoy,Russian,French
428,428,The mother tongue of {} is,Adriaan van Dis,French,Dutch
429,429,{} follows the religion of,James I of Aragon,Buddhism,Christianity
430,430,{} writes in,Huangfu Mi,English,Chinese
431,431,{} is known for performing,Orphan Black,sitcom,thriller
432,432,The language of {} was,Planet of the Apes,English,French
433,433,The official language of {} is,Guam,Russian,English
434,434,{} was employed in,Johann Gottlieb Fichte,London,Berlin
435,435,{} died at,Henry Michell Wagner,Chicago,Brighton
436,436,"{}, founded in",The Rasmus,Beijing,Helsinki
437,437,The profession of {} is,Jane Leeves,novelist,actor
438,438,"{}, which is located in",Adliswil,Germany,Switzerland
439,439,"{}, who has a citizenship from",Irfan Habib,Singapore,India
440,440,{} is located in the continent,Umayyad Caliphate,Antarctica,Europe
441,441,"In {}, they understand",La Chaux-de-Fonds,English,French
442,442,{}'s headquarters are in,Chinese Skating Association,Indianapolis,Beijing
443,443,{} can be found in,Disney's Hollywood Studios,Ontario,Florida
444,444,{} originated in,The Boat People,Manchester,Brisbane
445,445,"{}, that was from",Fantastyka,Australia,Poland
446,446,{} belongs to the continent of,Alpha Island,Europe,Antarctica
447,447,{} was native to,Marcus Harvey,Paris,Leeds
448,448,The original language of {} was,The Register,Italian,English
449,449,{} performs on the,Keith Emerson,guitar,piano
450,450,Where is {}? It is located in,Uruguayan War,Wales,Uruguay
451,451,{} is from,Bundesautobahn 5,Microsoft,Germany
452,452,{} is in,Lake Bluff,Cambodia,Illinois
453,453,What sport does {} play? They play,R.A. Dickey,soccer,baseball
454,454,{} premieres on,Skag,CBS,NBC
455,455,{} originated in,Acrassicauda,London,Baghdad
456,456,"{}, named for",Trinidad,Indianapolis,Trinity
457,457,What does {} play? They play,Alex Cline,opera,jazz
458,458,{} is to debut on,The Dennis O'Keefe Show,NBC,CBS
459,459,"{}, in",Alebtong District,Oslo,Uganda
460,460,{} performs,Ralph Lyford,jazz,opera
461,461,{} is developed by,New Nintendo 3DS,Microsoft,Nintendo
462,462,{} worked in,Bahamas,Prague,Toronto
463,463,The language used by {} is,Jesus Christ,English,Hebrew
464,464,{} performs,Milt Hinton,sitcom,jazz
465,465,{} spoke the language,Louis Bonaparte,Dutch,French
466,466,"{}, which is called after",Sheremetyevo International Airport,Manchester,Moscow
467,467,{} was originally from,Brendan Croker,Bree,Bradford
468,468,Which position does {} play? They play as,Massimo Ficcadenti,linebacker,midfielder
